TARIFF,EFF_DATE,CHANGE,SUB_CHAP,DESC1,DESC2,DESC3,FOOTNOTE,UOM,MFN,AUT,NZT,CCCT,LDCT,GPT,UST,MXT,CIAT,CT,CRT,IT,NT,SLT,PT,COLT,JT,PAT,HNT,KRT,CEUT,CPTPT,UKT,row_id,UAT,General Tariff
"0106.14.00","04/01/21 00:00:00",0,,"Rabbits and hares",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26940,"Free","35%"
"0106.14.00.00","01/01/12 00:00:00",0,,"Rabbits and hares",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26941,"Free","35%"
"0106.19.00.10","01/01/12 00:00:00",0,,"Minks",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26943,,
"0106.19.00.90","01/01/02 00:00:00",0,,"Other",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26944,,
"0106.20.00","04/01/21 00:00:00",0,,"Reptiles (including snakes and turtles)",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26945,"Free","35%"
"0106.20.00.00","01/01/02 00:00:00",0,,"Reptiles (including snakes and turtles)",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26946,"Free","35%"
"0106.3","01/01/02 00:00:00",0,,"Birds:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26947,,
"0106.31.00","04/01/21 00:00:00",0,,"Birds of prey",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26948,"Free","35%"
"0106.31.00.00","01/01/02 00:00:00",0,,"Birds of prey",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26949,"Free","35%"
"0106.32.00","04/01/21 00:00:00",0,,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26950,"Free","35%"
"0106.32.00.00","01/01/02 00:00:00",0,,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26951,"Free","35%"
"0106.33.00","04/01/21 00:00:00",0,,"Ostriches; emus (Dromaius novaehollandiae)",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26952,"Free","35%"
"0106.33.00.00","01/01/12 00:00:00",0,,"Ostriches; emus (Dromaius novaehollandiae)",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26953,"Free","35%"
"0106.39.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26954,"Free","35%"
"0106.39.00.10","01/01/02 00:00:00",0,,"Pet or song birds",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26955,,
"0106.39.00.90","01/01/02 00:00:00",0,,"Other",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,26956,,
"0106.4","01/01/12 00:00:00",0,,"Insects:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26957,,
